inputs,prediction,expected_output,score,cost
"Passage: According to official records, the British government lost 43 troops with 126 wounded, while 2337 rebels were killed, another 1652 injured and 45,404 imprisoned. Unofficial estimates put the number at 10,000 killed and 50,000 imprisoned, of who 20,000 were deported  while around 10,000 went missing. The number of civilian casualties is estimated at between 500 and 600. Official estimates of forced religious conversions of Hindus were put at 180, but unofficial estimates suggest a figure of between 1000 and 1500. Arya Samaj sources reported a number of 1766, adding that the total might exceed 2500, the highest estimate made. Out of a total of almost 50,000 Mappilas involved in the rebellion, 678 were charged with the crime of forced religious conversion, not all of who were guilty of involvement. Within five years subsequent to the conflict the agricultural output was averaging slightly more than prior to it. Qureshi has said that, ""In short, contrary to popular belief, Malabar did not suffer a massive devastation, and even if it did the recovery was miraculous.""
Question: How many more rebels were killed compared to British troops being lost?
Answer:","9,957",2294,0.0,0.01388625
"Passage: Coming off their special teams woes in 2010, the Chargers allowed a 103-yard opening kickoff return to Percy Harvin to start the season. Kicker Nate Kaeding suffered a season-ending injury on the play, and punter Mike Scifres assumed place kicking responsibilities for the game. The Chargers outscored the Vikings 10-0 in the fourth quarter to come back and win the game, 24-17. Fullback Mike Tolbert scored three touchdowns, and Philip Rivers completed 33 of 48 passes for 335 yards and two touchdowns. He was also intercepted twice.  Scifres kicked a 40-yard field goal, the first of his NFL career, and kicked three PATs.  With the win, the Chargers started their season out 1-0.
Question: How many field goals did Matt Scrifes kick?
Answer:",1,1,1.0,0.008776949999999997
"Passage: According to the 2016 American Community Survey, 78.1% of working Nashville residents commuted by driving alone, 9.8% carpooled, 2% used public transportation, and 2.2% walked. About 1.1% used all other forms of transportation, including taxicab, motorcycle, and bicycle. About 6.7% of working Nashville residents worked at home. In 2015, 7.9% of city of Nashville households were without a car; this figure decreased to 5.9% in 2016. The national average was 8.7 percent in 2016. Nashville averaged 1.72 cars per household in 2016, compared to a national average of 1.8 per household.
Question: How many less Nashville residents worked at home than were without a car?
Answer:",0.8% more Nashville residents worked at home than those without a car.,1.2,0.0,0.01410885
"Passage: In the county, the population was spread out with 26.20% under the age of 18, 9.30% from 18 to 24, 26.50% from 25 to 44, 23.50% from 45 to 64, and 14.60% who were 65 years of age or older.  The median age was 37 years. For every 100 females there were 95.90 males.  For every 100 females age 18 and over, there were 92.50 males.
Question: Which age group had the third most people?
Answer:","To determine which age group had the third most people, we can analyze the percentages provided for each age group:

1. Under 18: 26.20%
2. 25 to 44: 26.50%
3. 45 to 64: 23.50%
4. 18 to 24: 9.30%
5. 65 and older: 14.60%

Arranging these percentages in descending order:

1. 25 to 44: 26.50%
2. Under 18: 26.20%
3. 45 to 64: 23.50%
4. 65 and older: 14.60%
5. 18 to 24: 9.30%

From this arrangement, we can see that the age group with the third most people is the 45 to 64 age group, which comprises 23.50% of the population.",45 to 64,0.06060606060606061,0.013443599999999998
"Passage: In the city, the age distribution of the population shows 21.8% under the age of 18, 13.1% from 18 to 24, 31.7% from 25 to 44, 20.1% from 45 to 64, and 13.2% who were 65 years of age or older. The median age was 34 years. For every 100 females, there were 87.1 males. For every 100 females age 18 and over, there were 83.5 males.
Question: Which age groups each made up more than 20% of the population?
Answer:","Under the age of 18 (21.8%), From 25 to 44 (31.7%)",under the age of 18 and 25 to 44 and 45 to 64,0.6363636363636365,0.013801949999999999
"Passage: Clad in all-blue uniforms for the first time in franchise history, Ron Dayne rushed for a career-high 153 yards and two touchdowns and Kris Brown kicked the winning 48-yard field goal as time expired to shock the Colts 27-24. The Texans used Dayne and rookie Chris Taylor to eat up the clock and exploit the Colts' suspect run defense, ranked last in the NFL, while taking pressure off David Carr and the struggling passing game. The win broke a nine-game losing streak to the Colts (11-4). It would be the Colts' last defeat before winning Super Bowl XLI. Mario Williams forced a Dominic Rhodes fumble on the Colts' second play. Anthony Weaver recovered the ball on the Indianapolis 47 and Houston would convert it into a touchdown, taking an early 14-0 lead. Houston led through most of the game until Peyton Manning and Marvin Harrison connected for their second touchdown, a 7-yard pass that tied it 24-24 with 2:41 remaining. Carr and the Texans then engineered a six-play, 31-yard drive that ended with Brown's winning kick. Carr was 16-of-23 for 163 yards and a touchdown and was not sacked.
Question: How many yards did Carr throw for?
Answer:",David Carr threw for 163 yards.,163,0.2857142857142857,0.008108549999999997
"Passage: In 1664, a group of missionaries led by François Pallu, Bishop of Heliopolis, also of the Paris Foreign Missions Society, joined Lambert in the capital city of Ayutthaya after 24 months overland travel and started missionary work. In 1665-66 they built a seminary in Ayutthaya with the approval of King Narai, the Seminary of Saint Joseph . In 1669, Louis Laneau, Bishop of Motella, also a member of the Paris Foreign Missions Society, was named head of a Roman Catholic mission in mainland Southeast Asia, with his headquarters at Ayutthaya. They propagated the Christian faith and also took care of Annamite Christians and Japanese Christian communities in Thailand. Narai welcomed these missionaries, providing them with land for a church, a mission-house and a seminary .Bishops Lambert and Ballue established a Western hospital in Thailand in 1669 at Ayutthaya, with Father Laneau as the head doctor. The hospital provided medical care to about 200-300 people daily. During a 1670 trip to France, Pallu obtained from Louis XIV a letter to King Narai, which, together with a letter from the Pope, he remitted in Ayutthaya in October 1673 and which was received with great reverence. These contacts were closely associated with the development of French influence in South Asia, and especially with the establishment of the French East India Company in 1664, and the development of colonial French India.
Question: How many years did it take after arriving for the seminary to be built in Ayutthaya?
Answer:",1-2 years,2|1,0.0,0.011464649999999996
"Passage: According to statistical data from 2016, Cooke County has a population of 39,141 people (41% urban, 59% rural), nearly 14,000 households, and over 10,000 families. The population density was 42 per square mile (16/km²). The 15,061 housing units averaged 17 per square mile (7/km²). The Race (United States Census) of the county was 88.84% White, 3.06% Black or African American, 1.00% Native American, 0.34% Asian, 0.01% Pacific Islander, 5.16% from other races, and 1.61% from two or more races.  About 10% of the population was Hispanic or Latino of any race.
Question: How many more people are there than households?
Answer:","25,141",25141,1.0,0.013010399999999998
"Passage: The country's economic transformation was far from complete. Political and financial crises in 1997, shattered the Czech Republic's image as one of the most stable and prosperous of post-Communist states. Delays in enterprise restructuring and failure to develop a well-functioning capital market played major roles in Czech economic troubles, which culminated in a currency crisis in May. The formerly pegged currency was forced into a floating system as investors sold their Korunas faster than the government could buy them. This followed a worldwide trend to divest from developing countries that year. Investors also worried the republic's economic transformation was far from complete. Another complicating factor was the current account deficit, which reached nearly 8% of GDP. In response to the crisis, two austerity packages were introduced later in the spring , which cut government spending by 2.5% of GDP. Growth dropped to 0.3% in 1997, −2.3% in 1998, and −0.5% in 1999. The government established a restructuring agency in 1999 and launched a revitalization program - to spur the sale of firms to foreign companies. Key priorities included accelerating legislative convergence with EU norms, restructuring enterprises, and privatising banks and utilities. The economy, fueled by increased export growth and investment, was expected to recover by 2000.
Question: How many percentage points did GDP growth drop from 1997 to 1999?
Answer:","To determine the drop in GDP growth from 1997 to 1999, we need to look at the growth rates for those years. In 1997, the GDP growth rate was 0.3%, and in 1999, it was -0.5%. 

To find the change in growth rate, we subtract the 1999 growth rate from the 1997 growth rate:

0.3% (1997) - (-0.5%) (1999) = 0.3% + 0.5% = 0.8%.

Thus, the GDP growth dropped by 0.8 percentage points from 1997 to 1999. 

The statement about the drop being 2.8 percentage points is incorrect. The correct drop is 0.8 percentage points.",3.1|5.3|.8,0.0,0.01398615
"Passage: In the New Jersey gubernatorial election, 2013, Democrat Barbara Buono received 75.9% of the vote (5,757 cast), ahead of Republican Chris Christie with 22.7% (1,723 votes), and other candidates with 1.4% (104 votes), among the 8,174 ballots cast by the citys 21,996 registered voters (590 ballots were spoiled), for a turnout of 37.2%. In the New Jersey gubernatorial election, 2009, Democrat Jon Corzine received 7,140 ballots cast (81.3% vs. 50.6% countywide), ahead of Republican Chris Christie with 1,057 votes (12.0% vs. 41.7%), Independent Chris Daggett with 355 votes (4.0% vs. 5.9%) and other candidates with 84 votes (1.0% vs. 0.8%), among the 8,786 ballots cast by the citys 21,738 registered voters, yielding a 40.4% turnout (vs. 46.5% in the county).
Question: How many more registered voters were there for the 2013 election compared to the 2009 election?
Answer:",258,258,1.0,0.011297999999999996
